强尤测试,2018/7/30 23:07,selenium自动化之javascrip,"我们在做web自动化测试时候，有时候会遇到富文本这类的控件的时候，不管你怎么定位，都定位不到的时候，你需要换个思维，我们可以用一下javascript脚本来实现这样。
webdriver提供了execute_script()方法来执行javascript代码,这个我们用一个案例来展示如何，打开百度搜索页面，利用javascript代码把“selenium调用js”文字输入到文本框当中。
python脚本如下:
#导入webdriver类
from selenium import webdriver
#打开火狐浏览器
driver=webdriver.Firefox()
#最大化浏览器界面窗口
driver.maximize_window()
#打开网址
driver.get(""打开百度网址"")
#定义一个变量，输入文本框的文字
text=""selenium调用js""
#javascript代码
js=""var ms=document.getElementById('kw');ms.value='""+text+""';""
#selenium调用javascript
driver.execute_script(js)
#退出并关闭浏览器
driver.quit()
其实在selenium中还可以利用javascript来实现其他一些特殊的操作，可以操作网页上下滚动，上下移动这样的操作行为。
python实现脚本如下：
from selenium import webdriver
from time import sleep
#打开火狐浏览器
driver=webdriver.Firefox()
driver.get(""打开百度网页"")
#设置浏览器窗口大小
driver.set_window_size(600,600)
#文本框里输入值
driver.find_element_by_id(""kw"").send_keys(""测试"")
#点击百度一下按钮
driver.find_element_by_id(""su"").click()
#暂停5秒时间
sleep(5)
#设置网页滚动条停留的位置
js=""window.scrollTo(100,450);""
#执行javascript代码
driver.execute_script(js)
driver.quit()"
,,,
learnaLanguage,2018/7/17 6:00,Python：Selenium爬取动态网页,"Selenium 是一个用于Web应用程序测试的工具。Selenium测试直接运行在浏览器中，就像真正的用户在操作一样。
Selenium：
框架底层使用JavaScript模拟真实用户对浏览器进行操作。测试脚本执行时，浏览器自动按照脚本代码做出点击，输入，打开，验证等操作，就像真实用户所做的一样，从终端用户的角度测试应用程序。
使浏览器兼容性测试自动化成为可能，尽管在不同的浏览器上依然有细微的差别。
使用简单，可使用Java，Python等多种语言编写用例脚本。
平时都在写爬虫代码，有的时候的遇到一些网站它们可不会乖乖就范哦，一般的都会有一些反爬措施的，再就是一些通过框架渲染出来的页面。
对于这些网站，前者一般需要修改请求头、代理或者判断验证码等方可解决；后者由于网页信息是动态加载的， 常用的 Requests 库就显得有些无力了，拿不到渲染后的内容。
那么就到 Selenium 出场了，本次就利用该库爬取腾讯招聘的信息。
运行环境：
System：Windows 10
Python version：3.6
代码如下：
安装 Selenium
下载驱动
ps：只能图片展示咯，不过网上很多很容易可以找到，下载好对应的浏览器驱动放到 Python 安装目录下就行
导入相关模块
创建Firefox参数对象
把Firefox设置成无界面模式，自动适配对应参数
创建Firefox无界面对象
ps：若是不加参数浏览器会弹出来，如本次演示，加了参数则浏览器不会显示，但这需要前两行代码的配合
发起请求，这个URL是直接在浏览器上拿过来的，剔除了一些不需要的参数
WebDriverWait() 这一行代码是传入一个WebDriver的实例,后面两个参数是超时时间和睡眠间隔
until() 是判断目标元素是否出现，代码中等待的是标签中 id=""next"" 的出现，网页中为下一页的标签，以此判断招聘信息已加载完毕
ps：若是无界面模式那一定要记得最后一行代码是必不可少的，不然浏览器你没关，你又看不见它这就很尴尬
运行效果如下：
作者也在学习当中，难免会有错漏的地方，恳请读者能给予意见或建议，谢谢！转载请注明：[learnaLanguage_YiZhou_Python：Selenium爬取动态网页]"
,,,
小菜鸟学前端,2018/6/5 10:40,Selenium IDE 页面功能介绍,"打开Selenium IDE，如下图：
Selenium IDE 界面介绍：
1、 文件（File）：创建、打开和保存测试案例和测试案例集。
编辑（Edit）：复制、粘贴、删除、撤销和选择测试案例中的所有命令。
Actions（行为）:设置的脚本的录制与运行。
Options（设置）: 用于设置seleniunm IDE。
2、Base URL：用来填写被测试的基础URL 地址。
图 Selenium IDE 窗口
3、速度控制（fast-slow）：控制案例的运行速度。滑动按钮拖到Fast 侧用例将快速执行，相反拖动到Slow 侧缓慢执
行。
4、运行所有(Play entire test suite)：运行一个测试案例集中的所有案例。
5、运行(Play current test case)：运行当前选定的测试案例。
6、暂停/恢复(Pause/Resume)：暂停和恢复测试案例执行。
7、单步(Step)：可以运行一个案例中的一行命令。
8、应用汇总规则(Apply rollup rules)：这个功能可以让一组命令组合成一个单个行动。
9、Turn test scheduler on/off
10、录制(Click to record)：点击之后，开始记录你对浏览器的操作。
11、Test Case 表示案例集列表。
12、测试脚本
table 标签：用表格形式展现命令及参数。
source 标签：以本地格式显示测试用例（以文件方式保存），默认是HTML语言格式，也可以用其他语言展示。
13、Runs/Failures：查看脚本运行通过/失败的个数。
Runs 表示用例执行成功的个数。Failures 表示用例失败的个数。
14、当选中前命令对应参数。一条命令由command、Target、value 三个部分组成。
15、Log/Reference/UI-Element/Rollup
Log：当你运行测试时，错误和信息将会自定显示。 最右边有Info 按钮， 可以选择显示日志的级别； Clear 用来清除日志显示。
Reference：当在表格模式下输入和修改命令及参数的时候，这个区块会显示一些相关命名的调用和参数的状况，相当与一个快速帮助的区块。
UI-Element:UI-Element DocumentationUI元素
Rollup：统计
后记：对于大部分转行的人来说，找机会把自己的基础知识补齐，边工作边补基础知识，真心很重要。
“我们相信人人都可以成为一个IT大神，现在开始，选择一条阳光大道，助你入门，学习的路上不再迷茫。这里是北京尚学堂，初学者转行到IT行业的聚集地。"""
,,,
墨城君,2017/5/5 18:57,Selenium自动化脚本开发,"Selenium简介
Selenium Selenium 是ThoughtWorks专门为Web应用程序编写的一个验收测试工具。
Selenium测试直接运行在浏览器中，就像真正的用户在操作一样。支持的浏览器包括IE、Mozilla Firefox、Mozilla Suite等。这个工具的主要功能包括：测试与浏览器的兼容性——测试你的应用程序看是否能够很好得工作在不同浏览器和操作系统之上。测试系统功能——创建衰退测试检验软件功能和用户需求。支持自动录制动作和自动生成。Net、Java、Perl等不同语言的测试脚本。
Selenium+Visual Studio环境配置
先到官网先下载IEDriverServer（32位或者64位），解压文件将IEDriverServer.exe存放到一个指定路径，要记住这个路径，配置过程中要用到。
打开VS（为了便于查看，我用的是中文版的，英文版的请自己对照位置），打开“工具”菜单下的“扩展管理器”：
我们需要在“扩展管理器”中安装“NuGet”，单击下载安装，然后重启你的VS。
创建一个测试项进行测试
右键“引用”，选择“NuGet程序包”。
在这里选择“联机”，搜索“selenium”。然后安装就行了。
安装Selenium包后项目引用里可看到如下动态库
创建一个测试类进行环境验证(注意到“C：IEDriverServer”了吗？这就是存放IEDriverServer.exe的路径)
可能遇到的问题：
1：未找到驱动服务
参考方案：
就看看IEDriverServer.exe的路径是不是错了。
另外：浏览器的“启动保护模式”我给取消勾选了，如果勾选的话偶尔也会报异常。
可能遇到的问题：
1：用户代码未处理
参考方案：
看看是不是浏览器的驱动用错了（32位用了64位的，或者反过来）。
Selenium—页面元素定位
By.className(className))
By.cssSelector(selector)
By.id(id)
By.linkText(linkText)
By.name(name)
By.partialLinkText(linkText)
By.tagName(name)
By.xpath(xpathExpression)
注意：selenium-webdriver通过findElement() indElements()等find方法调用""By""对象来定位和查询元素。
By类只是提供查询的方式进行分类。findElement返回一个元素对象否则抛出异常，findElements返回符合条
件的元素List，如果不存在符合条件的就返回一个空的list。
By.className(className))
By.cssSelector(selector)
By.id(id)
By.linkText(linkText)
By.name(name)
By.partialLinkText(linkText)
By.tagName(name)
By.xpath(xpathExpression)
注意：selenium-webdriver通过findElement() indElements()等find方法调用""By""对象来定位和查询元素。
By类只是提供查询的方式进行分类。findElement返回一个元素对象否则抛出异常，findElements返回符合条
件的元素List，如果不存在符合条件的就返回一个空的list。
各方法使用优先级为：id,name,linktext优先使用，cssselector次之，最后使用xpath。
Selenium自动化--对象操作
1：点击按钮/链接click()
Driver.FindElement(By.XPath(“//input[@id=‘submit’ and @value=‘下一步’]”)).click()；
2：清空文本框clear()
Driver.FindElement(By.Id(“tranAmtText”)).clear()；
3：在文本框中输入指定的字符串sendkeys()
Driver.FindElement(By.Id(""tranAmtText"")).SendKeys(“123456”)；
4：移动光标到指定的元素上perform
Actions action=new Actions(driver)；
action.MoveToElement(Find(By.XPath(""//input[@id='submit' and @value='确定']""))).Perform();
5：模拟光标晃动movebyoffset()
Actions action = new Actions(driver);
action.MoveByOffset(2, 4);
6：等待页面元素加载完成，默认等待100秒
WebDriverWait wait = new WebDriverWait(driver, TimeSpan.FromSeconds(100));
//等待页面上ID属性值为submitButton的元素加载完成
wait.Until((d) => { return WaitForObject(By.Id(""submitButton"")); });
Select操作//选择下拉框
protected void SelectUsage(string selectid, string text)
{
IWebElement select = Find(By.Id(selectid));
IList<IWebElement> AllOptions = select.FindElements(By.TagName(""option""));
foreach (IWebElement option in select.FindElements(By.TagName(""option"")))
{
if (option.GetAttribute(""value"").Equals(text))
option.Click();
}
}
Selenium自动化—操作iframe
1：切换焦点到id为固定值的iframe上
进入页面后，光标默认焦点在DefaultContent中，若想要定位到iframe 需要转换焦点
driver.SwitchTo().DefaultContent();
//切换焦点到mainFrame
driver.SwitchTo().Frame(""mainFrame"");
需要注意的是：切换焦点之后若想切换焦点到其他iframe上 需要先返回到defaultcontent，再切换焦点到指定的iframe上。
2切换焦点到id值为动态值的iframe上
有时候 页面上浮出层的id为动态值，此时需要先获取所有符合记录的iframe放置在数组中，然后遍历数组切换焦点到目标iframe上。
如下方法：
protected string bizFrameId = string.Empty;
protected string bizId = string.Empty;
//获取动态iframe的id值
protected void SetIframeId()
{
ReadOnlyCollection<IWebElement> els = driver.FindElements(By.TagName(""iframe""));
foreach (var e in driver.FindElements(By.TagName(""iframe"")))
{
string s1 = e.GetAttribute(""id"");
if (s1.IndexOf(""window"") >= 0 && s1.IndexOf(""content"") >= 0)
{
bizFrameId = e.GetAttribute(""id"");
string[] ss = s1.Split(new char[] { '_' });
bizId = ss[1];
}
}
}
Selenium自动化—alert prompt confirm
//在本次浏览器兼容性测试项目中遇到的只有confirm和alert
//下面举例说明confirm和alert的代码，prompt类似
//confirm的操作
IAlert confirm = driver.SwitchTo().Alert();
confirm.Accept();
//Alert的操作
//个人网银中同样的业务有时候不会弹对alert，此时需要判断alert是否存在
//对Alert提示框作确定操作,默认等待50毫秒
protected void AlertAccept()
{
AlertAccept(0.05);
}
//等待几秒，可以为小数，单位为秒
protected void AlertAccept(double waitseSonds)
{
double nsleepMillon = waitseSonds * 1000;
int k=0;
int split=50;
IAlert alert = null;
do
{
k++;
Thread.Sleep(split);
alert = driver.SwitchTo().Alert();
} while (k * split <= nsleepMillon || alert==null);
if (alert != null)
{
alert.Accept();
}
}
Selenium自动化—浏览器操作
首先生成一个Web对象
IWebDriver driver = new FirefoxDriver();
//打开指定的URL地址
driver.Navigate().GoToUrl(@""http://12.99.102.196:9080/corporbank/logon_pro.html"");
//关闭浏览器
Driver.quit();
网银浏览器兼容性测试过程中，关闭浏览器后会有对话框，此问题解决方法如下：
public void logout()
{
System.Diagnostics.Process[] myProcesses;
myProcesses = System.Diagnostics.Process.GetProcessesByName(""IEXPLORE"");
foreach (System.Diagnostics.Process instance in myProcesses)
{
instance.Kill();
}
}
//获取所有的WindowHandle，关闭所有子窗口
string oldwin = driver.CurrentWindowHandle;
ReadOnlyCollection<string> windows = driver.WindowHandles;
foreach (var win in windows)
{
if (win != oldwin)
{
driver.SwitchTo().Window(win).Close();
}
}
driver.SwitchTo().Window(oldwin);"
,,,
愿景驱动开发,2018/4/22 15:47,敏捷测试系列：Selenium从入门到实战,"第一章：Selenium 介绍
第二章：Selenium 测试环境搭建
第三章：Selenium WebDriver 命令
第四章：Selenium WebDriver元素定位与XPath
第五章：Selenium WebDriver 窗口切换（Alerts & Windows）
第六章：Selenium与TestNG 测试框架集成
第七章：Selenium与MongoDB与MySQL数据库集成
第八章：Maven集成
第九章：测试报告框架集成
第十章：Selenium与Jenkins持续集成（CI)"
,,,
